address,area,direction,floor,model,name,perfect,price_list,total_list
世纪星城,92.2平米,南 北,高楼层(共10层),4室2厅,世纪星城 ,简装,"59,653元/平",550
富锦嘉园五区,93.83平米,南 北,顶层(共6层),2室1厅,富锦嘉园五区 ,精装,"59,683元/平",560
长城国际,48.52平米,东,22层,1室0厅,长城国际 ,精装,"38,747元/平",188
绿岛苑西区,96.05平米,西南,高楼层(共24层),3室1厅,绿岛苑西区 ,简装,"46,331元/平",445
天伦锦城,111.34平米,南 北,低楼层(共13层),3室1厅,天伦锦城 ,精装,"47,243元/平",526
天通苑北二区,236.02平米,南 北,底层(共13层),4室2厅,天通苑北二区 ,精装,"26,269元/平",620
京杭府,181.78平米,南 北,低楼层(共36层),3室2厅,京杭府 ,精装,"51,711元/平",940
东潞苑,121.65平米,南 北,中楼层(共6层),2室1厅,东潞苑 ,简装,"26,141元/平",318
北京洋房,163.16平米,南 北,中楼层(共5层),3室2厅,北京洋房 ,简装,"41,555元/平",678
中海紫御公馆,207.44平米,南 北 西,低楼层(共21层),4室2厅,中海紫御公馆 ,精装,"134,979元/平",2800
松榆西里,79.78平米,东南,高楼层(共18层),3室1厅,松榆西里 ,简装,"68,439元/平",546
车站西街9号院,93.49平米,南 北,高楼层(共6层),3室1厅,车站西街9号院 ,简装,"108,996元/平",1019
清缘里中区,86.69平米,东南,中楼层(共13层),2室1厅,清缘里中区 ,简装,"65,752元/平",570
恒盛小镇艺墅,88.33平米,南 北,中楼层(共11层),2室1厅,恒盛小镇艺墅 ,简装,"23,775元/平",210
观湖国际,266.26平米,南 北,高楼层(共27层),4室2厅,观湖国际 ,精装,"105,161元/平",2800
益明园,108.68平米,南 北,高楼层(共11层),3室2厅,益明园 ,精装,"91,830元/平",998
西成忆树,148.82平米,南 北,中楼层(共18层),3室2厅,西成忆树 ,精装,"48,381元/平",720
久敬佳园一区,99.6平米,南 北,中楼层(共6层),2室2厅,久敬佳园一区 ,精装,"52,511元/平",523
香悦四季,136.21平米,南 北,中楼层(共11层),4室2厅,香悦四季 ,精装,"37,369元/平",509
天通苑北一区,106.41平米,南,低楼层(共13层),2室2厅,天通苑北一区 ,精装,"46,049元/平",490
风景club,139.01平米,西北,中楼层(共15层),3室2厅,风景club ,毛坯,"64,025元/平",890
风格与林苑,178.28平米,南 北,中楼层(共4层),4室1厅,风格与林苑 ,简装,"46,444元/平",828
万泉新新家园,175.09平米,南 北,中楼层(共6层),3室2厅,万泉新新家园 ,精装,"162,774元/平",2850
香花畦家园,168.48平米,南 北,中楼层(共8层),4室2厅,香花畦家园 ,精装,"43,923元/平",740
本家润园一期,191.65平米,南 北,中楼层(共13层),3室2厅,本家润园一期 ,精装,"123,663元/平",2370
风格雅园,150.97平米,南 北,高楼层(共17层),3室2厅,风格雅园 ,精装,"79,486元/平",1200
合生国际花园,137.56平米,南 北,24层,3室2厅,合生国际花园 ,精装,"106,063元/平",1459
金港国际,152.13平米,南 北,9层,4室2厅,金港国际 ,精装,"95,905元/平",1459
远洋一方润园2号院,143.75平米,南 北,低楼层(共6层),3室1厅,远洋一方润园2号院 ,精装,"62,540元/平",899
嘉华世纪公寓,92.47平米,南,低楼层(共18层),1室1厅,嘉华世纪公寓 ,精装,"64,876元/平",599.9
朝阳门北小街,117.07平米,南 北,顶层(共6层),4室2厅,朝阳门北小街 ,精装,"106,774元/平",1250
盛景嘉园,181.44平米,南 北,7层,4室2厅,盛景嘉园 ,简装,"132,276元/平",2400
天通苑北三区,129.05平米,南 北,中楼层(共7层),3室2厅,天通苑北三区 ,简装,"44,169元/平",570
泰和宜园,138.91平米,南 北,低楼层(共11层),3室2厅,泰和宜园 ,精装,"31,316元/平",435
帅府园二期,160.05平米,南 北,低楼层(共21层),4室2厅,帅府园二期 ,精装,"61,856元/平",990
通瑞嘉苑,127.76平米,东 南 北,高楼层(共26层),3室1厅,通瑞嘉苑 ,精装,"44,615元/平",570
东晶国际,135.91平米,东 西,5层,3室1厅,东晶国际 ,其他,"48,562元/平",660
奈伦熙府,144.27平米,南 北,中楼层(共18层),3室1厅,奈伦熙府 ,精装,"60,997元/平",880
润泽公馆,179平米,南 北,低楼层(共24层),4室2厅,润泽公馆 ,精装,"93,017元/平",1665
天通苑本三区,132.14平米,南 北,底层(共6层),3室1厅,天通苑本三区 ,精装,"45,104元/平",596
金隅丽港城,133.75平米,西南,中楼层(共26层),3室1厅,金隅丽港城 ,精装,"83,739元/平",1120
天通苑北一区,144.95平米,东南,中楼层(共18层),3室1厅,天通苑北一区 ,精装,"41,325元/平",599
武圣东里,81.3平米,南 西 北,17层,3室1厅,武圣东里 ,精装,"55,966元/平",455
丽景长安二期,154.95平米,南 北,顶层(共23层),4室2厅,丽景长安二期 ,精装,"41,950元/平",650
万科紫苑,160.59平米,北 南,中楼层(共15层),3室1厅,万科紫苑 ,精装,"79,707元/平",1280
慧时欣园二期,102.09平米,西南,24层,2室2厅,慧时欣园二期 ,简装,"60,241元/平",615
东湖湾二期,178.08平米,南 北,高楼层(共21层),3室2厅,东湖湾二期 ,精装,"131,964元/平",2350
至善家园,135.27平米,南 北,底层(共6层),3室2厅,至善家园 ,其他,"45,835元/平",620
首邑上城,139.46平米,南 北,低楼层(共15层),3室2厅,首邑上城 ,精装,"46,752元/平",652
远洋山水,135.21平米,东南,26层,3室2厅,远洋山水 ,精装,"78,989元/平",1068
金汉绿港四区,127平米,南 北,中楼层(共20层),3室2厅,金汉绿港四区 ,简装,"37,796元/平",480
北京华侨城2号院,137.6平米,南 北,14层,3室2厅,北京华侨城2号院 ,其他,"79,942元/平",1100
观巢,199.38平米,西南,中楼层(共22层),3室2厅,观巢 ,精装,"72,726元/平",1450
金隅七零九零,139.37平米,南 北,15层,3室2厅,金隅七零九零 ,精装,"43,769元/平",610
天通苑北一区,113.55平米,东南,中楼层(共29层),3室1厅,天通苑北一区 ,精装,"43,065元/平",489
碧水云天,181.47平米,南 北,高楼层(共12层),4室2厅,碧水云天 ,简装,"179,645元/平",3260
富力城A区,96.81平米,南,28层,2室1厅,富力城A区 ,精装,"115,691元/平",1120
天天家园,160.63平米,南 北,10层,3室2厅,天天家园 ,精装,"87,095元/平",1399
风林绿洲,171.38平米,东南,低楼层(共24层),3室1厅,风林绿洲 ,简装,"84,608元/平",1450
宜山居,136.89平米,南 北,5层,3室2厅,宜山居 ,精装,"32,874元/平",450
吉庆里西区,108.77平米,南 北,底层(共10层),3室1厅,吉庆里西区 ,精装,"99,844元/平",1086
北亚花园,86.75平米,南 北,中楼层(共7层),2室1厅,北亚花园 ,简装,"37,119元/平",322
苹果派,77.5平米,西北,中楼层(共10层),2室2厅,苹果派 ,简装,"61,678元/平",478
苹果派,77.91平米,西北,高楼层(共10层),2室1厅,苹果派 ,精装,"61,867元/平",482
太平桥西里,52.47平米,南,中楼层(共6层),2室1厅,太平桥西里 ,简装,"67,086元/平",352
金海国际南区,108.99平米,东,中楼层(共23层),2室1厅,金海国际南区 ,精装,"63,309元/平",690
南竹杆胡同,72平米,南 北,低楼层(共6层),2室1厅,南竹杆胡同 ,精装,"124,862元/平",899
益丰园,56.12平米,南 北 西,高楼层(共6层),2室1厅,益丰园 ,简装,"49,537元/平",278
东南小区,58.9平米,南 北,顶层(共6层),2室1厅,东南小区 ,精装,"147,708元/平",870
中信沁园,95.74平米,东 西,低楼层(共20层),2室1厅,中信沁园 ,简装,"170,253元/平",1630
永乐西区,59.56平米,南 北,顶层(共6层),2室1厅,永乐西区 ,精装,"43,654元/平",260
玉海园一里,60.6平米,南 北,低楼层(共6层),2室1厅,玉海园一里 ,简装,"98,845元/平",599
石园北区,90.67平米,南 北,顶层(共6层),2室2厅,石园北区 ,简装,"30,330元/平",275
天润福熙大道,140.66平米,东 南 北,低楼层(共26层),3室2厅,天润福熙大道 ,精装,"105,219元/平",1480
古城路小区,50.84平米,南 北,底层(共4层),2室0厅,古城路小区 ,简装,"42,880元/平",218
中泽雅园,66.29平米,南 北,中楼层(共6层),2室1厅,中泽雅园 ,精装,"40,731元/平",270
蒲安东里,62平米,南 西,高楼层(共18层),2室1厅,蒲安东里 ,简装,"65,323元/平",405
M5朗峰,57.2平米,东,中楼层(共10层),2室1厅,M5朗峰 ,精装,"62,588元/平",358
滨河坊,81.45平米,东 西,底层(共6层),2室1厅,滨河坊 ,简装,"32,045元/平",261
梅兰居,65.41平米,南,高楼层(共16层),1室1厅,梅兰居 ,简装,"36,386元/平",238
天桥北里,79.2平米,西南,中楼层(共12层),2室1厅,天桥北里 ,简装,"93,435元/平",740
冠英园小区,112.2平米,南 北,中楼层(共10层),2室1厅,冠英园小区 ,精装,"135,473元/平",1520
三里河一区3号院,105.5平米,东南,顶层(共18层),2室1厅,三里河一区3号院 ,精装,"161,138元/平",1700
太平桥东里,58.4平米,南 北,中楼层(共6层),2室1厅,太平桥东里 ,其他,"68,322元/平",399
安慧北里逸园,58.8平米,南 北,低楼层(共6层),2室1厅,安慧北里逸园 ,精装,"90,137元/平",530
京通苑,63.36平米,西南,中楼层(共24层),1室1厅,京通苑 ,精装,"47,665元/平",302
葡东小区,64.01平米,南 西,中楼层(共6层),2室1厅,葡东小区 ,精装,"37,182元/平",238
杏林园,110.57平米,东南,18层,3室1厅,杏林园 ,简装,"54,988元/平",608
富力惠兰美居,67.6平米,南,中楼层(共28层),2室1厅,富力惠兰美居 ,精装,"39,645元/平",268
华远铭悦园,73.9平米,南 北,27层,2室1厅,华远铭悦园 ,精装,"40,867元/平",302
